"question_id","classroom_id","is_correct","skill_id","created_at","attempt","student_id"
"936","19","1","635","2015-04-06T11:57:21.779Z","1","1116"
"939","19","1","635","2015-04-06T11:57:31.748Z","1","1116"
"944","19","1","635","2015-04-06T11:57:41.311Z","2","1116"
"942","19","1","635","2015-04-06T11:58:05.993Z","2","1116"
"954","19","1","636","2015-04-07T00:40:09.526Z","2","1116"
"953","19","1","636","2015-04-07T00:40:29.545Z","1","1116"
"947","19","1","636","2015-04-07T00:40:50.411Z","1","1116"
"951","19","1","636","2015-04-07T00:41:07.672Z","2","1116"
"952","19","1","636","2015-04-07T00:41:16.931Z","1","1116"
"947","19","1","636","2015-03-31T10:53:22.349Z","1","1118"
"950","19","1","636","2015-03-31T10:53:45.828Z","1","1118"
"948","19","1","636","2015-03-31T10:54:24.262Z","1","1118"
"949","19","1","636","2015-03-31T10:54:55.375Z","1","1118"
"955","19","1","636","2015-03-31T10:55:42.424Z","1","1118"
"966","19","1","641","2015-04-03T10:40:00.478Z","1","1118"
"975","19","1","641","2015-04-03T10:40:17.233Z","1","1118"
"960","19","1","641","2015-04-03T10:40:26.687Z","1","1118"
"970","19","1","641","2015-04-03T10:40:41.497Z","1","1118"
"976","19","1","641","2015-04-03T10:40:54.141Z","1","1118"
"936","19","1","635","2015-04-06T13:58:35.982Z","1","1118"
"943","19","1","635","2015-04-06T13:58:58.310Z","1","1118"
"942","19","1","635","2015-04-06T13:59:09.692Z","1","1118"
"940","19","1","635","2015-04-06T13:59:20.841Z","1","1118"
"939","19","1","635","2015-04-06T13:59:30.876Z","1","1118"
"955","19","1","636","2015-04-07T10:56:20.576Z","2","1118"
"954","19","1","636","2015-04-07T10:57:50.585Z","1","1118"
"947","19","1","636","2015-04-07T10:58:00.346Z","2","1118"
"952","19","1","636","2015-04-07T10:58:14.132Z","1","1118"
"949","19","1","636","2015-04-07T10:58:37.087Z","2","1118"
"963","19","1","641","2015-04-03T11:32:14.518Z","1","1121"
"966","19","0","641","2015-04-03T11:32:34.054Z","1","1121"
